Transverse rank-one certificates for the 204 fields of the p = 5 census (|D_K| < 2^30)
==================================================================

D_K          #rat rk1  #rat transverse  min k-degree  criterion applies
  rational x=(1, 2, 0)  det B = 3  TRANSVERSE  (tangent dim 0)
    B = [[[1], [0]], [[2], [3]]]
  degree-5 point over F_5[t]/(t^5: [1, 0, 0, 0, 4, 1])
    x = [[0, 2, 3, 2, 1], [0, 3, 1, 3, 4], [1, 0, 0, 0, 0]]
    det B = [1, 4, 3, 3, 1]  TRANSVERSE  (tangent dim 0)
    B = [[[0, 1, 4, 3, 4], [0, 4, 4, 4, 1]], [[0, 2, 3, 1, 4], [3, 0, 3, 2, 2]]]

== -199674799
  rational x=(1, 2, 4)  det B = 4  TRANSVERSE  (tangent dim 0)
    B = [[[4], [1]], [[3], [3]]]
  degree-5 point over F_5[t]/(t^5: [1, 0, 0, 0, 4, 1])
    x = [[2, 4, 0, 3, 0], [0, 2, 2, 4, 4], [1, 0, 0, 0, 0]]
    det B = [1, 3, 2, 3, 3]  TRANSVERSE  (tangent dim 0)
    B = [[[4, 2, 4, 4, 2], [0, 2, 1, 4, 4]], [[1, 4, 2, 2, 1], [0, 2, 1, 4, 0]]]

== -202331347
  rational x=(0, 1, 3)  det B = 2  TRANSVERSE  (tangent dim 0)
    B = [[[1], [2]], [[1], [4]]]
  degree-2 point over F_5[t]/(t^2: [1, 1, 1])
    x = [[4, 2], [3, 4], [1, 0]]
    det B = [0, 4]  TRANSVERSE  (tangent dim 0)
    B = [[[2, 4], [2, 2]], [[3, 3], [0, 0]]]
  degree-3 point over F_5[t]/(t^3: [1, 0, 1, 1])
    x = [[4, 0, 2], [0, 4, 4], [1, 0, 0]]
    det B = [2, 1, 4]  TRANSVERSE  (tangent dim 0)
    B = [[[3, 4, 0], [1, 1, 2]], [[3, 0, 3], [0, 1, 3]]]

== -203145767
  rational x=(1, 1, 4)  det B = 0  not transverse  (tangent dim 1)
    B = [[[2], [1]], [[3], [4]]]
  rational x=(1, 2, 0)  det B = 3  TRANSVERSE  (tangent dim 0)
    B = [[[4], [2]], [[2], [3]]]
  degree-2 point over F_5[t]/(t^2: [1, 1, 1])
    x = [[4, 2], [2, 3], [1, 0]]
    det B = [0, 3]  TRANSVERSE  (tangent dim 0)
    B = [[[4, 4], [0, 0]], [[2, 4], [2, 2]]]

== -203437103
  rational x=(1, 0, 0)  det B = 1  TRANSVERSE  (tangent dim 0)
    B = [[[4], [1]], [[0], [4]]]
  rational x=(1, 4, 3)  det B = 0  not transverse  (tangent dim 1)
    B = [[[3], [4]], [[4], [2]]]
  rational x=(0, 1, 1)  det B = 3  TRANSVERSE  (tangent dim 0)
    B = [[[4], [4]], [[0], [2]]]
  degree-2 point over F_5[t]/(t^2: [1, 1, 1])
    x = [[2, 0], [3, 4], [1, 0]]
    det B = [1, 4]  TRANSVERSE  (tangent dim 0)
    B = [[[1, 2], [3, 1]], [[4, 2], [1, 0]]]

== -204909944
  rational x=(1, 4, 1)  det B = 1  TRANSVERSE  (tangent dim 0)
    B = [[[2], [4]], [[0], [3]]]
  degree-5 point over F_5[t]/(t^5: [1, 0, 0, 0, 4, 1])
    x = [[1, 1, 0, 1, 3], [0, 1, 0, 4, 2], [1, 0, 0, 0, 0]]
    det B = [4, 3, 1, 2, 4]  TRANSVERSE  (tangent dim 0)
    B = [[[3, 3, 3, 0, 1], [1, 4, 0, 0, 0]], [[1, 1, 4, 1, 2], [3, 4, 1, 1, 4]]]

== -205996583
  rational x=(1, 2, 4)  det B = 1  TRANSVERSE  (tangent dim 0)
    B = [[[1], [4]], [[1], [0]]]
  degree-5 point over F_5[t]/(t^5: [1, 0, 0, 0, 4, 1])
    x = [[4, 1, 1, 2, 3], [0, 2, 3, 4, 1], [1, 0, 0, 0, 0]]
    det B = [2, 1, 3, 3, 3]  TRANSVERSE  (tangent dim 0)
    B = [[[2, 2, 3, 2, 1], [0, 1, 3, 3, 4]], [[2, 0, 2, 3, 4], [1, 3, 1, 4, 1]]]

== -207666763
  rational x=(1, 4, 4)  det B = 1  TRANSVERSE  (tangent dim 0)
    B = [[[4], [0]], [[0], [4]]]
  degree-5 point over F_5[t]/(t^5: [1, 0, 0, 0, 4, 1])
    x = [[0, 4, 2, 4, 3], [0, 2, 1, 2, 3], [1, 0, 0, 0, 0]]
    det B = [3, 2, 3, 4, 1]  TRANSVERSE  (tangent dim 0)
    B = [[[4, 0, 4, 2, 3], [1, 4, 3, 0, 0]], [[1, 4, 2, 2, 0], [1, 1, 1, 3, 4]]]

== -209149784
  rational x=(1, 4, 0)  det B = 3  TRANSVERSE  (tangent dim 0)
    B = [[[0], [4]], [[3], [3]]]
  rational x=(0, 1, 0)  det B = 0  not transverse  (tangent dim 1)
    B = [[[2], [1]], [[3], [4]]]
  rational x=(0, 1, 3)  det B = 2  TRANSVERSE  (tangent dim 0)
    B = [[[2], [4]], [[3], [2]]]
  degree-2 point over F_5[t]/(t^2: [1, 1, 1])
    x = [[3, 2], [0, 2], [1, 0]]
    det B = [3, 4]  TRANSVERSE  (tangent dim 0)
    B = [[[2, 3], [2, 0]], [[3, 3], [3, 4]]]

== -212229543
  rational x=(1, 2, 3)  det B = 0  not transverse  (tangent dim 1)
    B = [[[3], [4]], [[0], [0]]]
  degree-3 point over F_5[t]/(t^3: [1, 0, 1, 1])
    x = [[4, 3, 0], [1, 0, 3], [1, 0, 0]]
    det B = [2, 0, 3]  TRANSVERSE  (tangent dim 0)
    B = [[[4, 2, 1], [1, 2, 0]], [[0, 0, 3], [3, 3, 3]]]

== -216770467
  rational x=(1, 1, 4)  det B = 2  TRANSVERSE  (tangent dim 0)
    B = [[[2], [2]], [[1], [2]]]
  degree-5 point over F_5[t]/(t^5: [1, 0, 0, 0, 4, 1])
    x = [[1, 2, 2, 0, 4], [0, 1, 0, 1, 2], [1, 0, 0, 0, 0]]
    det B = [4, 0, 1, 1, 3]  TRANSVERSE  (tangent dim 0)
    B = [[[3, 0, 2, 4, 1], [0, 1, 4, 3, 0]], [[0, 3, 3, 1, 2], [0, 3, 1, 0, 0]]]

== -225826216
  rational x=(1, 0, 1)  det B = 1  TRANSVERSE  (tangent dim 0)
    B = [[[2], [4]], [[2], [2]]]
  degree-5 point over F_5[t]/(t^5: [1, 0, 0, 0, 4, 1])
    x = [[1, 4, 4, 1, 3], [0, 4, 4, 4, 0], [1, 0, 0, 0, 0]]
    det B = [3, 2, 2, 3, 0]  TRANSVERSE  (tangent dim 0)
    B = [[[0, 3, 4, 4, 0], [2, 0, 2, 1, 1]], [[0, 1, 4, 2, 4], [0, 0, 0, 0, 0]]]

== -226373428
  rational x=(1, 0, 4)  det B = 2  TRANSVERSE  (tangent dim 0)
    B = [[[3], [2]], [[1], [3]]]
  rational x=(1, 2, 4)  det B = 1  TRANSVERSE  (tangent dim 0)
    B = [[[3], [2]], [[4], [3]]]
  rational x=(0, 1, 0)  det B = 1  TRANSVERSE  (tangent dim 0)
    B = [[[1], [2]], [[4], [4]]]
  degree-3 point over F_5[t]/(t^3: [1, 0, 1, 1])
    x = [[2, 0, 4], [0, 2, 3], [1, 0, 0]]
    det B = [4, 4, 0]  TRANSVERSE  (tangent dim 0)
    B = [[[2, 0, 1], [3, 0, 0]], [[0, 0, 0], [2, 4, 4]]]

== -231112315
  rational x=(1, 3, 4)  det B = 3  TRANSVERSE  (tangent dim 0)
    B = [[[2], [0]], [[4], [4]]]
  rational x=(1, 4, 0)  det B = 4  TRANSVERSE  (tangent dim 0)
    B = [[[0], [1]], [[1], [1]]]
  degree-4 point over F_5[t]/(t^4: [1, 0, 1, 1, 1])
    x = [[1, 2, 2, 0], [1, 1, 2, 3], [1, 0, 0, 0]]
    det B = [2, 3, 0, 1]  TRANSVERSE  (tangent dim 0)
    B = [[[3, 4, 1, 1], [1, 4, 0, 2]], [[0, 2, 3, 0], [2, 0, 4, 4]]]

== -239452895
  rational x=(1, 3, 2)  det B = 4  TRANSVERSE  (tangent dim 0)
    B = [[[1], [1]], [[3], [2]]]
  degree-5 point over F_5[t]/(t^5: [1, 0, 0, 0, 4, 1])
    x = [[2, 0, 0, 4, 1], [0, 3, 3, 3, 1], [1, 0, 0, 0, 0]]
    det B = [3, 2, 4, 2, 4]  TRANSVERSE  (tangent dim 0)
    B = [[[4, 3, 0, 1, 3], [2, 3, 0, 4, 2]], [[2, 0, 4, 2, 3], [2, 2, 0, 3, 3]]]

== -242963687
  degree-6 point over F_5[t]/(t^6: [1, 0, 0, 0, 1, 1, 1])
    x = [[4, 4, 0, 4, 0, 3], [0, 0, 3, 3, 2, 0], [1, 0, 0, 0, 0, 0]]
    det B = [0, 2, 2, 2, 0, 2]  TRANSVERSE  (tangent dim 0)
    B = [[[0, 0, 3, 3, 2, 1], [0, 2, 1, 4, 1, 4]], [[4, 1, 0, 0, 2, 4], [3, 1, 3, 3, 3, 1]]]

== -246238555
  rational x=(1, 2, 0)  det B = 4  TRANSVERSE  (tangent dim 0)
    B = [[[3], [3]], [[3], [1]]]
  degree-5 point over F_5[t]/(t^5: [1, 0, 0, 0, 4, 1])
    x = [[1, 2, 1, 4, 4], [1, 3, 2, 4, 2], [1, 0, 0, 0, 0]]
    det B = [4, 4, 1, 0, 4]  TRANSVERSE  (tangent dim 0)
    B = [[[2, 2, 2, 3, 4], [0, 0, 0, 0, 1]], [[0, 4, 3, 1, 0], [4, 1, 2, 1, 0]]]

== -247127879
  rational x=(1, 4, 2)  det B = 3  TRANSVERSE  (tangent dim 0)
    B = [[[4], [3]], [[4], [0]]]
  degree-5 point over F_5[t]/(t^5: [1, 0, 0, 0, 4, 1])
    x = [[4, 2, 2, 2, 4], [1, 0, 1, 2, 4], [1, 0, 0, 0, 0]]
    det B = [3, 0, 2, 3, 1]  TRANSVERSE  (tangent dim 0)
    B = [[[3, 2, 4, 2, 0], [2, 2, 0, 2, 3]], [[3, 3, 1, 3, 4], [3, 2, 4, 1, 1]]]

== -248046051
  rational x=(1, 0, 4)  det B = 2  TRANSVERSE  (tangent dim 0)
    B = [[[3], [0]], [[0], [4]]]
  degree-5 point over F_5[t]/(t^5: [1, 0, 0, 0, 4, 1])
    x = [[4, 1, 4, 0, 3], [0, 4, 0, 0, 3], [1, 0, 0, 0, 0]]
    det B = [4, 3, 1, 4, 3]  TRANSVERSE  (tangent dim 0)
    B = [[[4, 1, 4, 1, 4], [4, 1, 0, 3, 1]], [[3, 1, 0, 2, 0], [2, 3, 2, 1, 1]]]

== -249407767
  degree-6 point over F_5[t]/(t^6: [1, 0, 0, 0, 1, 1, 1])
    x = [[3, 3, 2, 3, 2, 2], [2, 3, 2, 4, 0, 1], [1, 0, 0, 0, 0, 0]]
    det B = [3, 1, 0, 0, 3, 2]  TRANSVERSE  (tangent dim 0)
    B = [[[3, 4, 1, 3, 2, 0], [4, 4, 3, 0, 3, 2]], [[4, 1, 1, 2, 3, 0], [3, 0, 2, 4, 3, 0]]]

== -252735992
  rational x=(1, 1, 1)  det B = 4  TRANSVERSE  (tangent dim 0)
    B = [[[0], [3]], [[2], [2]]]
  rational x=(1, 1, 2)  det B = 2  TRANSVERSE  (tangent dim 0)
    B = [[[3], [3]], [[4], [3]]]
  rational x=(1, 2, 0)  det B = 4  TRANSVERSE  (tangent dim 0)
    B = [[[1], [2]], [[0], [4]]]
  rational x=(1, 3, 4)  det B = 3  TRANSVERSE  (tangent dim 0)
    B = [[[3], [2]], [[0], [1]]]
  rational x=(0, 0, 1)  det B = 0  not transverse  (tangent dim 1)
    B = [[[0], [0]], [[3], [3]]]

== -253425979
  degree-3 point over F_5[t]/(t^3: [1, 0, 1, 1])
    x = [[2, 2, 2], [0, 0, 3], [1, 0, 0]]
    det B = [2, 1, 2]  TRANSVERSE  (tangent dim 0)
    B = [[[0, 2, 4], [2, 0, 2]], [[0, 2, 4], [2, 0, 3]]]
  degree-3 point over F_5[t]/(t^3: [1, 0, 1, 1])
    x = [[0, 2, 3], [0, 1, 3], [1, 0, 0]]
    det B = [4, 3, 2]  TRANSVERSE  (tangent dim 0)
    B = [[[3, 4, 1], [3, 2, 3]], [[1, 0, 4], [2, 3, 4]]]

== -256232447
  rational x=(0, 0, 1)  det B = 2  TRANSVERSE  (tangent dim 0)
    B = [[[3], [1]], [[3], [0]]]
  degree-2 point over F_5[t]/(t^2: [1, 1, 1])
    x = [[0, 3], [3, 4], [1, 0]]
    det B = [1, 4]  TRANSVERSE  (tangent dim 0)
    B = [[[4, 4], [4, 2]], [[2, 4], [4, 0]]]
  degree-3 point over F_5[t]/(t^3: [1, 0, 1, 1])
    x = [[4, 1, 2], [0, 4, 3], [1, 0, 0]]
    det B = [1, 4, 3]  TRANSVERSE  (tangent dim 0)
    B = [[[1, 3, 1], [0, 3, 0]], [[0, 3, 4], [1, 3, 2]]]

== -261286872
  rational x=(1, 4, 2)  det B = 3  TRANSVERSE  (tangent dim 0)
    B = [[[4], [0]], [[1], [2]]]
  degree-5 point over F_5[t]/(t^5: [1, 0, 0, 0, 4, 1])
    x = [[2, 3, 4, 3, 3], [1, 1, 0, 3, 1], [1, 0, 0, 0, 0]]
    det B = [1, 0, 1, 3, 3]  TRANSVERSE  (tangent dim 0)
    B = [[[4, 1, 3, 0, 1], [2, 3, 4, 1, 4]], [[3, 3, 1, 0, 2], [0, 1, 1, 3, 3]]]

== -272394484
  degree-6 point over F_5[t]/(t^6: [1, 0, 0, 0, 1, 1, 1])
    x = [[4, 4, 2, 4, 3, 4], [0, 2, 1, 3, 3, 1], [1, 0, 0, 0, 0, 0]]
    det B = [1, 2, 4, 0, 1, 0]  TRANSVERSE  (tangent dim 0)
    B = [[[4, 0, 2, 2, 2, 2], [0, 4, 4, 3, 3, 1]], [[0, 1, 0, 2, 1, 3], [3, 3, 1, 3, 1, 4]]]

== -280557591
  rational x=(1, 4, 2)  det B = 2  TRANSVERSE  (tangent dim 0)
    B = [[[3], [0]], [[4], [4]]]
  rational x=(0, 1, 4)  det B = 0  not transverse  (tangent dim 1)
    B = [[[1], [0]], [[0], [0]]]
  degree-3 point over F_5[t]/(t^3: [1, 0, 1, 1])
    x = [[0, 3, 4], [1, 2, 1], [1, 0, 0]]
    det B = [3, 2, 0]  TRANSVERSE  (tangent dim 0)
    B = [[[0, 1, 1], [1, 4, 1]], [[4, 0, 3], [3, 2, 3]]]

== -282198803
  rational x=(1, 0, 0)  det B = 3  TRANSVERSE  (tangent dim 0)
    B = [[[2], [0]], [[2], [4]]]
  degree-5 point over F_5[t]/(t^5: [1, 0, 0, 0, 4, 1])
    x = [[4, 3, 3, 0, 0], [0, 2, 0, 3, 4], [1, 0, 0, 0, 0]]
    det B = [4, 0, 3, 1, 2]  TRANSVERSE  (tangent dim 0)
    B = [[[1, 1, 4, 4, 0], [1, 3, 1, 3, 2]], [[1, 4, 2, 4, 3], [4, 3, 1, 3, 0]]]

== -285889891
  rational x=(1, 0, 4)  det B = 3  TRANSVERSE  (tangent dim 0)
    B = [[[4], [2]], [[1], [0]]]
  rational x=(1, 4, 1)  det B = 0  not transverse  (tangent dim 1)
    B = [[[0], [3]], [[0], [0]]]
  degree-3 point over F_5[t]/(t^3: [1, 0, 1, 1])
    x = [[0, 4, 4], [2, 1, 3], [1, 0, 0]]
    det B = [3, 1, 0]  TRANSVERSE  (tangent dim 0)
    B = [[[3, 4, 2], [0, 4, 0]], [[0, 2, 2], [1, 4, 0]]]

== -294897647
  degree-6 point over F_5[t]/(t^6: [1, 0, 0, 0, 1, 1, 1])
    x = [[4, 2, 4, 4, 3, 4], [0, 4, 3, 1, 0, 1], [1, 0, 0, 0, 0, 0]]
    det B = [1, 1, 1, 0, 3, 2]  TRANSVERSE  (tangent dim 0)
    B = [[[2, 3, 4, 2, 2, 2], [1, 4, 1, 2, 1, 0]], [[3, 0, 1, 1, 0, 3], [0, 0, 0, 4, 0, 0]]]

== -300240404
  rational x=(1, 1, 0)  det B = 4  TRANSVERSE  (tangent dim 0)
    B = [[[3], [3]], [[3], [1]]]
  degree-2 point over F_5[t]/(t^2: [1, 1, 1])
    x = [[0, 4], [4, 0], [1, 0]]
    det B = [2, 0]  TRANSVERSE  (tangent dim 0)
    B = [[[2, 2], [2, 3]], [[3, 0], [2, 3]]]
  degree-3 point over F_5[t]/(t^3: [1, 0, 1, 1])
    x = [[3, 4, 2], [1, 3, 4], [1, 0, 0]]
    det B = [1, 1, 1]  TRANSVERSE  (tangent dim 0)
    B = [[[1, 0, 3], [2, 1, 0]], [[4, 0, 4], [0, 0, 0]]]

== -308728199
  degree-2 point over F_5[t]/(t^2: [1, 1, 1])
    x = [[1, 4], [0, 4], [1, 0]]
    det B = [3, 2]  TRANSVERSE  (tangent dim 0)
    B = [[[3, 4], [1, 3]], [[3, 2], [1, 2]]]
  degree-4 point over F_5[t]/(t^4: [1, 0, 1, 1, 1])
    x = [[3, 0, 4, 2], [2, 4, 3, 4], [1, 0, 0, 0]]
    det B = [1, 4, 2, 3]  TRANSVERSE  (tangent dim 0)
    B = [[[0, 2, 4, 3], [2, 1, 2, 0]], [[3, 3, 4, 1], [1, 2, 3, 2]]]

== -311069163
  rational x=(0, 0, 1)  det B = 3  TRANSVERSE  (tangent dim 0)
    B = [[[4], [1]], [[1], [1]]]
  degree-5 point over F_5[t]/(t^5: [1, 0, 0, 0, 4, 1])
    x = [[4, 4, 0, 4, 4], [0, 3, 2, 2, 2], [1, 0, 0, 0, 0]]
    det B = [2, 0, 3, 3, 1]  TRANSVERSE  (tangent dim 0)
    B = [[[2, 0, 1, 2, 0], [4, 4, 3, 3, 0]], [[0, 3, 3, 1, 2], [0, 0, 3, 4, 0]]]

== -312163691
  rational x=(1, 3, 1)  det B = 4  TRANSVERSE  (tangent dim 0)
    B = [[[3], [4]], [[0], [3]]]
  degree-2 point over F_5[t]/(t^2: [1, 1, 1])
    x = [[2, 2], [2, 4], [1, 0]]
    det B = [2, 3]  TRANSVERSE  (tangent dim 0)
    B = [[[2, 1], [3, 2]], [[0, 4], [2, 0]]]
  degree-3 point over F_5[t]/(t^3: [1, 0, 1, 1])
    x = [[3, 1, 3], [0, 0, 1], [1, 0, 0]]
    det B = [3, 1, 2]  TRANSVERSE  (tangent dim 0)
    B = [[[1, 3, 1], [2, 4, 3]], [[1, 3, 1], [3, 2, 3]]]

== -313065188
  rational x=(1, 0, 1)  det B = 4  TRANSVERSE  (tangent dim 0)
    B = [[[4], [4]], [[2], [3]]]
  degree-5 point over F_5[t]/(t^5: [1, 0, 0, 0, 4, 1])
    x = [[2, 2, 0, 2, 4], [0, 1, 1, 2, 2], [1, 0, 0, 0, 0]]
    det B = [3, 0, 1, 2, 2]  TRANSVERSE  (tangent dim 0)
    B = [[[1, 3, 0, 3, 0], [4, 1, 4, 1, 2]], [[2, 1, 0, 0, 2], [3, 2, 1, 2, 1]]]

== -330727336
  degree-6 point over F_5[t]/(t^6: [1, 0, 0, 0, 1, 1, 1])
    x = [[1, 2, 4, 4, 0, 4], [0, 1, 2, 2, 0, 1], [1, 0, 0, 0, 0, 0]]
    det B = [2, 0, 4, 4, 2, 3]  TRANSVERSE  (tangent dim 0)
    B = [[[4, 4, 0, 1, 4, 3], [0, 3, 0, 2, 0, 1]], [[0, 1, 3, 2, 1, 2], [1, 3, 1, 2, 4, 2]]]

== -334692215
  degree-2 point over F_5[t]/(t^2: [1, 1, 1])
    x = [[0, 3], [1, 2], [1, 0]]
    det B = [3, 4]  TRANSVERSE  (tangent dim 0)
    B = [[[2, 3], [2, 0]], [[0, 2], [3, 1]]]
  degree-4 point over F_5[t]/(t^4: [1, 0, 1, 1, 1])
    x = [[0, 2, 3, 2], [0, 1, 2, 4], [1, 0, 0, 0]]
    det B = [4, 0, 3, 0]  TRANSVERSE  (tangent dim 0)
    B = [[[4, 4, 1, 0], [4, 2, 3, 1]], [[4, 1, 4, 3], [0, 2, 3, 1]]]

== -342156463
  rational x=(1, 2, 3)  det B = 4  TRANSVERSE  (tangent dim 0)
    B = [[[1], [3]], [[0], [4]]]
  rational x=(1, 3, 0)  det B = 2  TRANSVERSE  (tangent dim 0)
    B = [[[1], [0]], [[4], [2]]]
  rational x=(0, 1, 2)  det B = 2  TRANSVERSE  (tangent dim 0)
    B = [[[3], [2]], [[0], [4]]]
  rational x=(0, 1, 3)  det B = 0  not transverse  (tangent dim 1)
    B = [[[0], [0]], [[4], [0]]]
  rational x=(0, 1, 4)  det B = 3  TRANSVERSE  (tangent dim 0)
    B = [[[4], [1]], [[2], [0]]]

== -343576036
  degree-2 point over F_5[t]/(t^2: [1, 1, 1])
    x = [[1, 1], [2, 4], [1, 0]]
    det B = [3, 2]  TRANSVERSE  (tangent dim 0)
    B = [[[4, 0], [0, 1]], [[2, 0], [2, 1]]]
  degree-4 point over F_5[t]/(t^4: [1, 0, 1, 1, 1])
    x = [[1, 4, 0, 1], [1, 2, 3, 0], [1, 0, 0, 0]]
    det B = [4, 1, 4, 1]  TRANSVERSE  (tangent dim 0)
    B = [[[2, 0, 4, 0], [1, 2, 4, 0]], [[3, 3, 2, 2], [3, 3, 3, 1]]]

== -344438804
  degree-2 point over F_5[t]/(t^2: [1, 1, 1])
    x = [[4, 0], [0, 2], [1, 0]]
    det B = [2, 2]  TRANSVERSE  (tangent dim 0)
    B = [[[2, 2], [1, 4]], [[1, 2], [0, 0]]]
  degree-4 point over F_5[t]/(t^4: [1, 0, 1, 1, 1])
    x = [[2, 1, 4, 3], [0, 0, 4, 2], [1, 0, 0, 0]]
    det B = [1, 2, 2, 3]  TRANSVERSE  (tangent dim 0)
    B = [[[1, 4, 4, 0], [2, 4, 0, 2]], [[2, 1, 3, 0], [1, 4, 3, 3]]]

== -345369167
  rational x=(1, 0, 0)  det B = 2  TRANSVERSE  (tangent dim 0)
    B = [[[3], [2]], [[0], [4]]]
  rational x=(0, 1, 0)  det B = 1  TRANSVERSE  (tangent dim 0)
    B = [[[4], [4]], [[3], [2]]]
  rational x=(0, 1, 2)  det B = 0  not transverse  (tangent dim 1)
    B = [[[0], [0]], [[4], [2]]]
  degree-2 point over F_5[t]/(t^2: [1, 1, 1])
    x = [[2, 1], [2, 4], [1, 0]]
    det B = [3, 0]  TRANSVERSE  (tangent dim 0)
    B = [[[2, 3], [3, 1]], [[1, 0], [1, 2]]]

== -348003156
  rational x=(1, 2, 4)  det B = 0  not transverse  (tangent dim 1)
    B = [[[0], [1]], [[0], [4]]]
  rational x=(0, 1, 1)  det B = 4  TRANSVERSE  (tangent dim 0)
    B = [[[4], [0]], [[4], [1]]]
  degree-3 point over F_5[t]/(t^3: [1, 0, 1, 1])
    x = [[1, 2, 0], [0, 1, 3], [1, 0, 0]]
    det B = [1, 1, 0]  TRANSVERSE  (tangent dim 0)
    B = [[[4, 4, 0], [1, 1, 2]], [[4, 3, 4], [3, 2, 1]]]

== -351044647
  rational x=(1, 3, 0)  det B = 1  TRANSVERSE  (tangent dim 0)
    B = [[[3], [4]], [[0], [2]]]
  rational x=(1, 3, 1)  det B = 1  TRANSVERSE  (tangent dim 0)
    B = [[[4], [0]], [[1], [4]]]
  degree-4 point over F_5[t]/(t^4: [1, 0, 1, 1, 1])
    x = [[0, 1, 1, 1], [0, 0, 1, 4], [1, 0, 0, 0]]
    det B = [1, 3, 1, 0]  TRANSVERSE  (tangent dim 0)
    B = [[[1, 2, 1, 4], [4, 1, 4, 2]], [[0, 2, 2, 4], [4, 1, 0, 0]]]

== -360803647
  rational x=(1, 1, 4)  det B = 2  TRANSVERSE  (tangent dim 0)
    B = [[[1], [1]], [[0], [2]]]
  degree-2 point over F_5[t]/(t^2: [1, 1, 1])
    x = [[3, 2], [0, 1], [1, 0]]
    det B = [3, 0]  TRANSVERSE  (tangent dim 0)
    B = [[[1, 4], [0, 3]], [[0, 0], [2, 1]]]
  degree-3 point over F_5[t]/(t^3: [1, 0, 1, 1])
    x = [[2, 3, 0], [0, 1, 4], [1, 0, 0]]
    det B = [0, 0, 4]  TRANSVERSE  (tangent dim 0)
    B = [[[4, 2, 3], [2, 1, 4]], [[2, 1, 4], [1, 4, 0]]]

== -364780660
  rational x=(1, 2, 4)  det B = 3  TRANSVERSE  (tangent dim 0)
    B = [[[3], [0]], [[2], [1]]]
  degree-5 point over F_5[t]/(t^5: [1, 0, 0, 0, 4, 1])
    x = [[2, 3, 0, 3, 4], [0, 1, 1, 3, 4], [1, 0, 0, 0, 0]]
    det B = [3, 1, 0, 0, 4]  TRANSVERSE  (tangent dim 0)
    B = [[[4, 1, 0, 2, 0], [0, 2, 1, 4, 0]], [[1, 4, 4, 2, 4], [2, 0, 4, 2, 4]]]

== -368523908
  degree-2 point over F_5[t]/(t^2: [1, 1, 1])
    x = [[2, 2], [2, 4], [1, 0]]
    det B = [2, 4]  TRANSVERSE  (tangent dim 0)
    B = [[[3, 1], [2, 1]], [[2, 0], [4, 1]]]
  degree-4 point over F_5[t]/(t^4: [1, 0, 1, 1, 1])
    x = [[4, 4, 2, 4], [0, 4, 4, 1], [1, 0, 0, 0]]
    det B = [0, 3, 4, 2]  TRANSVERSE  (tangent dim 0)
    B = [[[4, 2, 4, 2], [0, 3, 4, 2]], [[0, 0, 1, 1], [2, 1, 4, 3]]]

== -416349256
  rational x=(1, 2, 2)  det B = 2  TRANSVERSE  (tangent dim 0)
    B = [[[3], [2]], [[4], [0]]]
  rational x=(1, 2, 3)  det B = 0  not transverse  (tangent dim 1)
    B = [[[0], [0]], [[2], [2]]]
  degree-3 point over F_5[t]/(t^3: [1, 0, 1, 1])
    x = [[4, 1, 0], [0, 4, 2], [1, 0, 0]]
    det B = [1, 4, 4]  TRANSVERSE  (tangent dim 0)
    B = [[[3, 3, 3], [4, 3, 3]], [[1, 0, 3], [3, 3, 0]]]

== -417286132
  rational x=(1, 4, 0)  det B = 1  TRANSVERSE  (tangent dim 0)
    B = [[[2], [0]], [[4], [3]]]
  degree-2 point over F_5[t]/(t^2: [1, 1, 1])
    x = [[0, 0], [2, 3], [1, 0]]
    det B = [3, 2]  TRANSVERSE  (tangent dim 0)
    B = [[[2, 4], [1, 0]], [[2, 2], [3, 4]]]
  degree-3 point over F_5[t]/(t^3: [1, 0, 1, 1])
    x = [[3, 2, 2], [1, 2, 3], [1, 0, 0]]
    det B = [1, 1, 4]  TRANSVERSE  (tangent dim 0)
    B = [[[3, 1, 3], [4, 2, 3]], [[2, 2, 3], [1, 0, 4]]]

== -429818367
  rational x=(0, 1, 3)  det B = 1  TRANSVERSE  (tangent dim 0)
    B = [[[4], [1]], [[2], [2]]]
  degree-5 point over F_5[t]/(t^5: [1, 0, 0, 0, 4, 1])
    x = [[2, 2, 0, 1, 0], [0, 2, 3, 0, 4], [1, 0, 0, 0, 0]]
    det B = [3, 0, 2, 2, 2]  TRANSVERSE  (tangent dim 0)
    B = [[[0, 2, 0, 2, 1], [0, 0, 3, 4, 1]], [[2, 2, 2, 4, 1], [1, 2, 1, 3, 4]]]

== -433597399
  rational x=(1, 4, 1)  det B = 2  TRANSVERSE  (tangent dim 0)
    B = [[[4], [2]], [[3], [2]]]
  degree-2 point over F_5[t]/(t^2: [1, 1, 1])
    x = [[0, 1], [2, 4], [1, 0]]
    det B = [1, 4]  TRANSVERSE  (tangent dim 0)
    B = [[[3, 2], [2, 0]], [[1, 2], [2, 4]]]
  degree-3 point over F_5[t]/(t^3: [1, 0, 1, 1])
    x = [[4, 1, 0], [1, 3, 4], [1, 0, 0]]
    det B = [4, 1, 4]  TRANSVERSE  (tangent dim 0)
    B = [[[4, 0, 0], [4, 0, 3]], [[1, 2, 1], [0, 4, 2]]]

== -434084164
  degree-2 point over F_5[t]/(t^2: [1, 1, 1])
    x = [[0, 4], [1, 0], [1, 0]]
